dateTime,TN,TP,NH3,NO23,OP,SSC
1978-06-05,2.51,0.05,0.02,1.8,0.05,247.0
1978-07-12,2.13,0.19,0.02,1.3,0.05,359.0
1978-08-15,2.47,0.34,0.17,1.5,0.05,367.0
1978-09-14,2.4,0.16,0.02,0.6,0.05,159.0
1978-10-23,1.98,0.2,0.02,1.3,0.05,196.0
1978-11-13,1.89,0.17,0.02,1.1,0.05,154.0
1978-11-17,1.89,0.17,0.02,1.1,0.05,1020.0
1978-12-12,1.89,0.4,0.03,1.0,0.05,539.0
1979-01-08,1.89,0.31,0.06,1.1,0.05,300.0
1979-02-08,1.54,0.21,0.03,0.94,0.05,333.0
1979-03-06,1.8,0.1,0.19,1.1,0.05,535.0
1979-04-02,1.8,0.16,0.06,1.7,0.159789,226.0
1979-05-07,2.53,0.14,0.03,1.9,0.140223,226.0
1979-05-10,2.53,0.14,0.03,1.9,0.140223,236.0
1979-06-11,2.02,0.16,0.05,1.3,0.159789,195.0
1979-06-20,2.02,0.16,0.05,1.3,0.159789,78.0
1979-07-20,2.32,0.26,0.02,1.5,0.159789,78.0
1979-08-06,2.8,0.24,0.02,1.4,0.159789,313.0
1979-09-07,2.39,0.25,0.02,1.4,0.159789,261.0
1979-10-01,2.36,0.32,0.05,1.4,0.159789,265.0
1979-11-02,2.9,0.18,0.04,1.1,0.159789,193.0
1979-12-19,2.4,0.22,0.07,1.3,0.159789,201.0
1980-01-07,2.4,0.23,0.06,1.3,0.159789,247.0
1980-02-04,2.26,0.16,0.12,1.4,0.159789,239.0
1980-03-11,2.26,0.17,0.2,1.4,0.159789,239.0
1980-04-10,2.5,0.21,0.06,1.2,0.159789,283.0
1980-05-09,2.4,0.21,0.04,1.3,0.159789,324.0
1980-06-10,2.4,0.22,0.09,1.2,0.159789,200.0
1980-07-07,4.0,0.35,0.03,2.2,0.159789,391.0
1980-08-04,2.24,0.22,0.09,1.3,0.159789,222.0
1980-09-03,2.2,0.22,0.02,1.0,0.159789,262.0
1980-10-17,2.0,0.31,0.04,1.0,0.159789,154.0
1980-11-13,1.87,0.24,0.03,0.77,0.159789,210.0
1980-12-01,2.53,0.28,0.03,0.93,0.159789,209.0
1981-01-12,2.7,0.21,0.21,1.5,0.159789,139.0
