dateTime,code,OP
1969-10-31,OP,0.22827
1969-11-19,OP,0.3261
1969-12-22,OP,0.026088
1970-01-15,OP,0.13044
1970-02-16,OP,0.414147
1970-03-18,OP,0.19566
1970-04-27,OP,0.202182
1970-05-25,OP,0.133701
1970-06-17,OP,0.117396
1970-08-13,OP,0.303273
1970-09-28,OP,0.06522
1970-12-17,OP,0.270663
1973-01-09,OP,0.02
1973-01-16,OP,0.09
1973-01-24,OP,0.13
1973-01-29,OP,0.14
1973-02-06,OP,0.01
1973-02-13,OP,0.04
1973-02-19,OP,0.05
1973-02-27,OP,0.05
1973-03-05,OP,0.03
1973-03-15,OP,0.07
1973-03-19,OP,0.09
1973-03-29,OP,0.04
1973-04-03,OP,0.04
1973-04-11,OP,0.03
1973-04-17,OP,0.02
1973-04-24,OP,0.03
1973-05-03,OP,0.03
1973-05-08,OP,0.04
1973-05-17,OP,0.02
1973-05-30,OP,0.04
1973-06-06,OP,0.05
1973-06-13,OP,0.19
1973-06-20,OP,0.06
1973-06-27,OP,0.03
1973-07-02,OP,0.06
1973-07-10,OP,0.02
1973-07-18,OP,0.1
1973-08-01,OP,0.09
1973-08-07,OP,0.07
1973-08-15,OP,0.02
1973-08-22,OP,0.03
1973-08-29,OP,0.01
1973-09-04,OP,0.05
1973-09-12,OP,0.08
1973-09-18,OP,0.027
1973-09-28,OP,0.03
1973-10-03,OP,0.07
1973-10-10,OP,0.07
1973-10-24,OP,0.04
1973-10-31,OP,0.1
1973-11-07,OP,0.11
1973-11-14,OP,0.09
1973-11-21,OP,0.09
1973-11-29,OP,0.1
1973-12-07,OP,0.28
1973-12-13,OP,0.27
1973-12-20,OP,0.29
1973-12-27,OP,0.29
1974-01-03,OP,0.28
1974-01-09,OP,0.06
1974-01-16,OP,0.02
1974-01-23,OP,0.01
1974-01-30,OP,0.04
1974-02-07,OP,0.04
1974-02-15,OP,0.02
1974-02-22,OP,0.03
1974-02-28,OP,0.04
1974-03-07,OP,0.04
1974-03-14,OP,0.04
1974-03-19,OP,0.06
1974-03-28,OP,0.04
1974-04-04,OP,0.06
1974-04-09,OP,0.04
1974-04-17,OP,0.04
1974-04-22,OP,0.04
1974-05-02,OP,0.04
1974-05-09,OP,0.06
1974-05-15,OP,0.06
1974-05-23,OP,0.06
1974-05-30,OP,0.06
1974-06-03,OP,0.04
1974-06-13,OP,0.04
1974-06-19,OP,0.13
1974-06-27,OP,0.07
1974-07-03,OP,0.26
1975-07-24,OP,0.09
1976-08-14,OP,0.05
1979-04-02,OP,0.159789
1979-05-07,OP,0.140223
1979-06-11,OP,0.159789
1981-10-09,OP,0.09
1981-12-07,OP,0.07
1982-02-17,OP,0.04
1982-04-09,OP,0.06
1982-06-10,OP,0.08
1982-08-05,OP,0.11
1982-10-07,OP,0.1
1982-12-11,OP,0.11
1983-01-25,OP,0.09
1983-04-26,OP,0.05
1983-06-22,OP,0.1
1983-08-15,OP,0.08
1983-10-03,OP,0.08
1983-12-06,OP,0.19
1984-02-14,OP,0.05
1984-04-16,OP,0.01
1984-06-26,OP,0.12
1984-08-21,OP,0.08
1984-10-15,OP,0.08
1984-12-03,OP,0.07
1985-02-13,OP,0.06
1985-04-11,OP,0.05
1985-08-13,OP,0.07
1985-10-01,OP,0.08
1985-12-03,OP,0.05
1986-02-18,OP,0.04
1986-04-15,OP,0.05
1986-06-16,OP,0.07
1986-08-12,OP,0.1
1986-10-06,OP,0.13
1986-11-18,OP,0.07
1986-12-08,OP,0.05
1987-02-09,OP,0.04
1987-06-09,OP,0.06
1987-08-13,OP,0.07
1987-10-20,OP,0.05
1987-12-02,OP,0.05
