dateTime,code,SSC
1978-06-05,80154,247.0
1978-07-12,80154,359.0
1978-08-15,80154,367.0
1978-09-14,80154,159.0
1978-10-23,80154,196.0
1978-11-13,80154,154.0
1978-11-17,80154,1020.0
1978-12-12,80154,539.0
1979-01-08,80154,300.0
1979-02-08,80154,333.0
1979-03-06,80154,535.0
1979-04-02,80154,226.0
1979-05-10,80154,236.0
1979-06-11,80154,195.0
1979-06-20,80154,78.0
1979-08-06,80154,313.0
1979-09-07,80154,261.0
1979-10-01,80154,265.0
1979-11-02,80154,193.0
1979-12-19,80154,201.0
1980-01-07,80154,247.0
1980-02-04,80154,239.0
1980-04-10,80154,283.0
1980-05-09,80154,324.0
1980-06-10,80154,200.0
1980-07-07,80154,391.0
1980-08-04,80154,222.0
1980-09-03,80154,262.0
1980-10-17,80154,154.0
1980-11-13,80154,210.0
1980-12-01,80154,209.0
1981-01-12,80154,139.0
1981-02-03,80154,99.0
1981-03-13,80154,328.0
1981-04-20,80154,111.0
1981-05-04,80154,410.0
1981-06-01,80154,550.0
1981-08-06,80154,488.0
1981-10-09,80154,128.0
1981-12-07,80154,96.0
1982-02-17,80154,470.0
1982-04-09,80154,334.0
1982-05-10,80154,243.0
1982-06-10,80154,711.0
1982-07-12,80154,273.0
1982-08-05,80154,450.0
1982-10-07,80154,265.0
1982-12-11,80154,581.0
1982-12-21,80154,362.0
1983-01-25,80154,302.0
1983-05-17,80154,151.0
1983-06-22,80154,151.0
1983-07-19,80154,281.0
1983-08-15,80154,115.0
1983-09-12,80154,122.0
1983-10-03,80154,81.0
1983-11-14,80154,103.0
1983-12-06,80154,404.0
1984-01-09,80154,166.0
1984-02-14,80154,531.0
1984-03-07,80154,380.0
1984-04-16,80154,204.0
1984-04-30,80154,179.0
1984-06-26,80154,481.0
1984-07-19,80154,253.0
1984-08-21,80154,118.0
1984-09-04,80154,86.0
1984-10-15,80154,153.0
1984-11-05,80154,259.0
1984-12-03,80154,205.0
1985-01-07,80154,304.0
1985-02-13,80154,420.0
1985-03-11,80154,252.0
1985-04-11,80154,196.0
1985-05-20,80154,215.0
1985-06-06,80154,191.0
1985-07-22,80154,120.0
1985-08-13,80154,159.0
1985-09-09,80154,143.0
1985-10-01,80154,111.0
1985-11-18,80154,228.0
1985-12-03,80154,361.0
1986-01-28,80154,119.0
1986-02-18,80154,429.0
1986-03-17,80154,155.0
1986-04-15,80154,168.0
1986-06-16,80154,261.0
1986-07-21,80154,394.0
1986-08-12,80154,173.0
1986-09-02,80154,207.0
