"dateTime","code","value"
"1969-10-31","NH3",0.23
"1970-03-18","NH3",0.2
"1974-10-11","NH3",0.02
"1974-11-07","NH3",0.02
"1974-12-05","NH3",0.02
"1975-01-09","NH3",0.06
"1975-02-14","NH3",0.05
"1975-03-11","NH3",0.04
"1975-04-04","NH3",0.02
"1975-05-06","NH3",0.03
"1975-07-16","NH3",0.1
"1975-07-24","NH3",0.02
"1975-08-13","NH3",0.02
"1975-09-09","NH3",0.02
"1975-10-02","NH3",0.02
"1975-11-17","NH3",0.02
"1975-12-18","NH3",0.09
"1976-01-22","NH3",0.04
"1976-02-24","NH3",0.07
"1976-03-25","NH3",0.09
"1976-04-05","NH3",0.04
"1976-04-13","NH3",0.02
"1976-08-14","NH3",0.02
"1978-01-13","NH3",0.07
"1978-02-13","NH3",0.16
"1978-03-06","NH3",0.14
"1978-04-25","NH3",0.08
"1978-05-08","NH3",0.08
"1978-06-05","NH3",0.02
"1978-07-12","NH3",0.02
"1978-08-15","NH3",0.17
"1978-09-14","NH3",0.02
"1978-10-23","NH3",0.02
"1978-11-13","NH3",0.02
"1978-12-12","NH3",0.03
"1979-01-08","NH3",0.06
"1979-02-08","NH3",0.03
"1979-03-06","NH3",0.19
"1979-04-02","NH3",0.06
"1979-05-07","NH3",0.03
"1979-06-11","NH3",0.05
"1979-07-20","NH3",0.02
"1979-08-06","NH3",0.02
"1979-09-07","NH3",0.02
"1979-10-01","NH3",0.05
"1979-11-02","NH3",0.04
"1979-12-19","NH3",0.07
"1980-01-07","NH3",0.06
"1980-02-04","NH3",0.12
"1980-03-11","NH3",0.2
"1980-04-10","NH3",0.06
"1980-05-09","NH3",0.04
"1980-06-10","NH3",0.09
"1980-07-07","NH3",0.03
"1980-08-04","NH3",0.09
"1980-09-03","NH3",0.02
"1980-10-17","NH3",0.04
"1980-11-13","NH3",0.03
"1980-12-01","NH3",0.03
"1981-01-12","NH3",0.21
"1981-02-03","NH3",0.05
"1981-03-13","NH3",0.16
"1981-04-20","NH3",0.04
"1981-05-04","NH3",0.08
"1981-06-01","NH3",0.11
"1981-07-08","NH3",0.17
"1981-08-06","NH3",0.22
"1981-09-03","NH3",0.1
"1981-10-09","NH3",0.07
"1981-12-07","NH3",0.06
"1982-02-17","NH3",0.23
"1982-04-09","NH3",0.1
"1982-06-10","NH3",0.15
"1982-08-05","NH3",0.13
"1982-10-07","NH3",0.16
"1982-12-11","NH3",0.05
"1983-01-25","NH3",0.14
