"dateTime","code","value"
"1967-10-05","NO23",0.52
"1967-11-22","NO23",0.38
"1967-12-17","NO23",0.47
"1968-01-22","NO23",0.38
"1968-03-04","NO23",0.84
"1968-04-04","NO23",0.34
"1968-06-05","NO23",0.41
"1968-08-13","NO23",0.75
"1968-09-10","NO23",0.54
"1968-10-08","NO23",0.37
"1968-11-19","NO23",1.1
"1968-12-12","NO23",0.93
"1969-02-20","NO23",0.81
"1969-04-29","NO23",1.5
"1969-05-29","NO23",1.1
"1969-08-07","NO23",1
"1969-08-26","NO23",1.1
"1969-09-23","NO23",0.59
"1969-10-22","NO23",0.45
"1969-10-31","NO23",0.79
"1969-11-19","NO23",0.97
"1969-12-19","NO23",0.79
"1969-12-22","NO23",0.84
"1970-01-15","NO23",0.72
"1970-02-16","NO23",1.221
"1970-03-18","NO23",1.127
"1970-05-25","NO23",0.14
"1970-06-09","NO23",1.4
"1970-06-17","NO23",1.6
"1970-07-08","NO23",1.1
"1970-08-13","NO23",0.59
"1970-09-08","NO23",0.41
"1970-09-28","NO23",0.56
"1970-10-13","NO23",0.86
"1970-11-10","NO23",1
"1970-12-17","NO23",0.99
"1971-01-06","NO23",1
"1971-01-21","NO23",0.97
"1971-02-23","NO23",0.72
"1971-03-18","NO23",1.1
"1971-04-06","NO23",1.5
"1971-05-06","NO23",0.79
"1971-06-01","NO23",0.79
"1971-09-15","NO23",0.23
"1971-11-09","NO23",0.27
"1971-12-14","NO23",0.59
"1972-01-21","NO23",0.95
"1972-03-07","NO23",1.1
"1972-05-12","NO23",1.3
"1973-01-09","NO23",0.41
"1973-01-16","NO23",0.45
"1973-01-24","NO23",0.52
"1973-01-29","NO23",0.45
"1973-02-06","NO23",0.34
"1973-02-13","NO23",0.5
"1973-02-19","NO23",0.5
"1973-02-27","NO23",0.4
"1973-03-05","NO23",0.6
"1973-03-15","NO23",0.5
"1973-03-19","NO23",0.75
"1973-03-29","NO23",0.47
"1973-04-03","NO23",0.43
"1973-04-11","NO23",0.56
"1973-04-17","NO23",0.52
"1973-04-24","NO23",0.59
"1973-05-03","NO23",0.43
"1973-05-08","NO23",0.54
"1973-05-17","NO23",0.47
"1973-05-30","NO23",0.8
"1973-06-06","NO23",0.88
"1973-06-13","NO23",0.6
"1973-06-20","NO23",0.95
"1973-06-27","NO23",1.4
"1973-07-02","NO23",0.9
"1973-07-10","NO23",0.8
"1973-07-18","NO23",0.9
"1973-08-01","NO23",1.1
"1973-08-07","NO23",1.3
"1973-08-15","NO23",1.2
"1973-08-22","NO23",1.1
"1973-08-29","NO23",0.76
"1973-09-04","NO23",0.79
"1973-09-12","NO23",0.63
"1973-09-18","NO23",0.28
"1973-09-28","NO23",0.5
"1973-10-18","NO23",1.1
"1973-10-24","NO23",1.2
"1973-10-31","NO23",1.3
"1973-11-07","NO23",1.3
"1973-11-14","NO23",1.7
"1973-11-21","NO23",1.7
"1973-11-29","NO23",1.2
"1973-12-07","NO23",0.98
"1973-12-13","NO23",1.1
"1973-12-20","NO23",1.4
"1973-12-27","NO23",1.1
"1974-01-03","NO23",1.2
"1974-01-09","NO23",1.2
"1974-01-16","NO23",1.2
"1974-01-23","NO23",0.65
"1974-01-30","NO23",0.63
"1974-02-07","NO23",0.81
"1974-02-15","NO23",0.84
"1974-02-22","NO23",0.77
"1974-02-28","NO23",0.75
"1974-03-07","NO23",0.57
"1974-03-14","NO23",0.52
"1974-03-19","NO23",1.1
"1974-03-28","NO23",1.1
"1974-04-04","NO23",0.93
"1974-04-09","NO23",0.47
"1974-04-17","NO23",0.72
"1974-04-22","NO23",1
"1974-05-02","NO23",0.93
"1974-05-09","NO23",0.61
"1974-05-15","NO23",0.7
"1974-05-23","NO23",0.63
"1974-05-30","NO23",0.81
"1974-06-03","NO23",1
"1974-06-13","NO23",1.2
"1974-06-19","NO23",1.1
"1974-06-27","NO23",1
"1974-07-03","NO23",0.59
"1974-08-16","NO23",0.54
"1974-09-12","NO23",0.59
"1974-10-11","NO23",0.7
"1974-11-07","NO23",0.61
"1974-12-05","NO23",0.83
"1975-01-09","NO23",0.96
"1975-02-14","NO23",1.2
"1975-03-11","NO23",1.1
"1975-04-04","NO23",0.94
"1975-05-06","NO23",1.3
"1975-07-16","NO23",2.2
"1975-07-24","NO23",1.7
"1975-08-13","NO23",0.88
"1975-09-09","NO23",0.23
"1975-10-02","NO23",0.8
"1975-11-17","NO23",0.66
"1975-12-18","NO23",0.48
"1976-01-22","NO23",1.1
"1976-02-24","NO23",1
"1976-03-25","NO23",1.7
"1976-04-05","NO23",1.5
"1976-04-13","NO23",1.3
"1976-05-27","NO23",1.7
"1976-06-02","NO23",1.6
"1976-07-15","NO23",1.2
"1976-08-14","NO23",0.65
"1976-10-27","NO23",1.3
"1976-11-03","NO23",0.93
"1976-12-01","NO23",0.59
"1977-01-10","NO23",0.54
"1977-02-07","NO23",0.57
"1977-03-03","NO23",0.74
"1977-04-04","NO23",1.1
"1977-05-02","NO23",0.92
"1977-06-01","NO23",1.6
"1977-07-13","NO23",0.8
"1977-08-08","NO23",0.64
"1977-09-02","NO23",1.1
"1977-10-18","NO23",1.2
"1977-11-07","NO23",1.5
"1977-12-08","NO23",1.2
"1978-01-13","NO23",2
"1978-02-13","NO23",1
"1978-03-06","NO23",1.1
"1978-04-25","NO23",1.8
"1978-05-08","NO23",2
"1978-06-05","NO23",1.8
"1978-07-12","NO23",1.3
"1978-08-15","NO23",1.5
"1978-09-14","NO23",0.6
"1978-10-23","NO23",1.3
"1978-11-13","NO23",1.1
"1978-12-12","NO23",1
