start_date,USGSPCode,resultVal
6/5/1978,80154,247
7/12/1978,80154,359
8/15/1978,80154,367
9/14/1978,80154,159
10/23/1978,80154,196
11/13/1978,80154,154
11/17/1978,80154,1020
12/12/1978,80154,539
1/8/1979,80154,300
2/8/1979,80154,333
3/6/1979,80154,535
4/2/1979,80154,226
5/10/1979,80154,236
6/11/1979,80154,195
6/20/1979,80154,78
8/6/1979,80154,313
9/7/1979,80154,261
10/1/1979,80154,265
11/2/1979,80154,193
12/19/1979,80154,201
1/7/1980,80154,247
2/4/1980,80154,239
4/10/1980,80154,283
5/9/1980,80154,324
6/10/1980,80154,200
7/7/1980,80154,391
8/4/1980,80154,222
9/3/1980,80154,262
10/17/1980,80154,154
11/13/1980,80154,210
12/1/1980,80154,209
1/12/1981,80154,139
2/3/1981,80154,99
3/13/1981,80154,328
4/20/1981,80154,111
5/4/1981,80154,410
6/1/1981,80154,550
8/6/1981,80154,488
10/9/1981,80154,128
12/7/1981,80154,96
2/17/1982,80154,470
4/9/1982,80154,334
5/10/1982,80154,243
6/10/1982,80154,711
7/12/1982,80154,273
8/5/1982,80154,450
10/7/1982,80154,265
12/11/1982,80154,581
12/21/1982,80154,362
1/25/1983,80154,302
5/17/1983,80154,151
6/22/1983,80154,151
7/19/1983,80154,281
8/15/1983,80154,115
9/12/1983,80154,122
10/3/1983,80154,81
11/14/1983,80154,103
12/6/1983,80154,404
1/9/1984,80154,166
2/14/1984,80154,531
3/7/1984,80154,380
4/16/1984,80154,204
4/30/1984,80154,179
6/26/1984,80154,481
7/19/1984,80154,253
8/21/1984,80154,118
9/4/1984,80154,86
10/15/1984,80154,153
11/5/1984,80154,259
12/3/1984,80154,205
1/7/1985,80154,304
2/13/1985,80154,420
3/11/1985,80154,252
4/11/1985,80154,196
5/20/1985,80154,215
6/6/1985,80154,191
7/22/1985,80154,120
8/13/1985,80154,159
9/9/1985,80154,143
10/1/1985,80154,111
11/18/1985,80154,228
12/3/1985,80154,361
1/28/1986,80154,119
2/18/1986,80154,429
3/17/1986,80154,155
4/15/1986,80154,168
6/16/1986,80154,261
7/21/1986,80154,394
8/12/1986,80154,173
9/2/1986,80154,207
