"dateTime","code","value"
"1974-10-11","TN",1.09
"1974-11-07","TN",0.9
"1974-12-05","TN",1.2
"1975-01-09","TN",1.46
"1975-02-14","TN",1.92
"1975-03-11","TN",1.45
"1975-04-04","TN",1.42
"1975-05-06","TN",2.18
"1975-07-16","TN",3.3
"1975-07-24","TN",2.55
"1975-08-13","TN",1.47
"1975-09-09","TN",0.8
"1975-10-02","TN",1.5
"1975-11-17","TN",1.15
"1975-12-18","TN",1.14
"1976-01-22","TN",1.78
"1976-02-24","TN",1.63
"1976-03-25","TN",2.4
"1976-04-05","TN",2.27
"1976-04-13","TN",1.98
"1976-06-02","TN",2.5
"1976-08-14","TN",1.31
"1976-10-27","TN",1.99
"1976-11-03","TN",1.8
"1977-01-10","TN",1.64
"1977-02-07","TN",1.19
"1977-03-03","TN",2.04
"1977-04-04","TN",1.8
"1977-05-02","TN",1.72
"1977-06-01","TN",2.13
"1977-07-13","TN",1.62
"1977-08-08","TN",1.08
"1977-09-02","TN",1.69
"1977-10-18","TN",1.78
"1977-11-07","TN",2.21
"1977-12-08","TN",1.7
"1978-01-13","TN",2.78
"1978-02-13","TN",1.91
"1978-03-06","TN",1.66
"1978-04-25","TN",2.78
"1978-05-08","TN",2.96
"1978-06-05","TN",2.51
"1978-07-12","TN",2.13
"1978-08-15","TN",2.47
"1978-09-14","TN",2.4
"1978-10-23","TN",1.98
"1978-11-13","TN",1.89
"1979-02-08","TN",1.54
"1979-03-06","TN",1.8
"1979-05-07","TN",2.53
"1979-06-11","TN",2.02
"1979-07-20","TN",2.32
"1979-08-06","TN",2.8
"1979-09-07","TN",2.39
"1979-10-01","TN",2.36
"1979-11-02","TN",2.9
"1979-12-19","TN",2.4
"1980-01-07","TN",2.4
"1980-02-04","TN",2.26
"1980-04-10","TN",2.5
"1980-05-09","TN",2.4
"1980-07-07","TN",4
"1980-08-04","TN",2.24
"1980-09-03","TN",2.2
"1980-10-17","TN",2
"1980-11-13","TN",1.87
"1980-12-01","TN",2.53
"1981-01-12","TN",2.7
"1981-02-03","TN",2.5
"1981-03-13","TN",3.8
"1981-04-20","TN",2.1
"1981-05-04","TN",3.6
"1981-06-01","TN",4.2
"1981-07-08","TN",3.9
"1981-08-06","TN",2.8
"1981-09-03","TN",2.9
"1981-10-09","TN",1.79
"1981-12-07","TN",2
"1982-02-17","TN",2.3
"1982-04-09","TN",2.87
"1982-06-10","TN",3.4
