"dateTime","code","value"
"1974-08-16","TP",0.14
"1974-09-12","TP",0.22
"1974-10-11","TP",0.08
"1974-11-07","TP",0.11
"1975-01-09","TP",0.13
"1975-02-14","TP",0.27
"1975-03-11","TP",0.05
"1975-04-04","TP",0.12
"1975-05-06","TP",0.09
"1975-07-16","TP",0.3
"1975-07-24","TP",0.15
"1975-08-13","TP",0.17
"1975-09-09","TP",0.12
"1975-10-02","TP",0.23
"1975-11-17","TP",0.44
"1975-12-18","TP",0.17
"1976-01-22","TP",0.23
"1976-02-24","TP",0.24
"1976-03-25","TP",0.2
"1976-04-05","TP",0.29
"1976-04-13","TP",0.21
"1976-05-27","TP",0.2
"1976-06-02","TP",0.2
"1976-07-15","TP",0.24
"1976-08-14","TP",0.11
"1976-10-27","TP",0.11
"1976-11-03","TP",0.31
"1976-12-01","TP",0.09
"1977-01-10","TP",0.22
"1977-02-07","TP",0.11
"1977-03-03","TP",0.35
"1977-04-04","TP",0.18
"1977-05-02","TP",0.26
"1977-06-01","TP",0.15
"1977-07-13","TP",0.31
"1977-08-08","TP",0.16
"1977-09-02","TP",0.8
"1977-10-18","TP",0.27
"1977-11-07","TP",0.3
"1977-12-08","TP",0.25
"1978-01-13","TP",0.17
"1978-02-13","TP",0.34
"1978-03-06","TP",0.25
"1978-04-25","TP",0.28
"1978-05-08","TP",0.29
"1978-06-05","TP",0.05
"1978-07-12","TP",0.19
"1978-08-15","TP",0.34
"1978-09-14","TP",0.16
"1978-10-23","TP",0.2
"1978-11-13","TP",0.17
"1978-12-12","TP",0.4
"1979-01-08","TP",0.31
"1979-02-08","TP",0.21
"1979-03-06","TP",0.1
"1979-04-02","TP",0.16
"1979-05-07","TP",0.14
"1979-06-11","TP",0.16
"1979-07-20","TP",0.26
"1979-08-06","TP",0.24
"1979-09-07","TP",0.25
"1979-10-01","TP",0.32
"1979-11-02","TP",0.18
"1979-12-19","TP",0.22
"1980-01-07","TP",0.23
"1980-02-04","TP",0.16
"1980-03-11","TP",0.17
"1980-04-10","TP",0.21
"1980-05-09","TP",0.21
"1980-06-10","TP",0.22
"1980-07-07","TP",0.35
"1980-08-04","TP",0.22
"1980-10-17","TP",0.31
"1980-11-13","TP",0.24
"1980-12-01","TP",0.28
"1981-01-12","TP",0.21
"1981-02-03","TP",0.28
"1981-03-13","TP",0.14
"1981-04-20","TP",0.26088
"1981-05-04","TP",0.31
"1981-06-01","TP",0.6
"1981-07-08","TP",0.42
"1981-08-06","TP",0.43
"1981-09-03","TP",0.29
"1981-10-09","TP",0.23
"1981-11-02","TP",0.189138
"1981-12-07","TP",0.1
"1982-01-11","TP",0.15
"1982-02-17","TP",0.13
"1982-03-15","TP",0.13
"1982-04-09","TP",0.14
"1982-05-10","TP",0.12
"1982-06-10","TP",0.29
"1982-07-12","TP",0.23
"1982-08-05","TP",0.2
"1982-10-07","TP",0.13
"1982-11-15","TP",0.21
"1982-12-11","TP",0.23
"1983-01-10","TP",0.15
"1983-01-25","TP",0.22
"1983-03-15","TP",0.18
"1983-04-26","TP",0.16
"1983-05-17","TP",0.11
"1983-06-22","TP",0.11
"1983-07-19","TP",0.16
"1983-08-15","TP",0.34
"1983-09-12","TP",0.09
"1983-10-03","TP",0.14
"1983-11-14","TP",0.14
"1983-12-06","TP",0.29
"1984-01-09","TP",0.2
"1984-02-14","TP",0.09
"1984-03-07","TP",0.25
"1984-04-16","TP",0.11
"1984-04-30","TP",0.1
"1984-06-26","TP",0.15
"1984-07-19","TP",0.13
"1984-08-21","TP",0.19
"1984-09-04","TP",0.09
"1984-10-15","TP",0.11
"1984-11-05","TP",0.05
"1984-12-03","TP",0.16
"1985-01-07","TP",0.12
"1985-03-11","TP",0.11
"1985-04-11","TP",0.13
"1985-05-20","TP",0.07
"1985-06-06","TP",0.08
"1985-07-22","TP",0.06
"1985-08-13","TP",0.11
"1985-09-09","TP",0.11
"1985-10-01","TP",0.16
"1985-11-18","TP",0.35
"1985-12-03","TP",0.22
"1986-01-28","TP",0.16
"1986-02-18","TP",0.12
"1986-03-17","TP",0.23
"1986-04-15","TP",0.21
"1986-05-06","TP",0.16
"1986-06-16","TP",0.29
"1986-07-21","TP",0.4
"1986-08-12","TP",0.29
"1986-09-02","TP",0.31
"1986-10-06","TP",0.51
"1986-11-18","TP",0.12
"1986-12-08","TP",0.23
"1987-01-27","TP",0.11
"1987-02-09","TP",0.05
"1987-03-03","TP",0.28
"1987-05-11","TP",0.36
"1987-06-09","TP",0.38
"1987-07-13","TP",0.37
"1987-08-13","TP",0.37
"1987-09-01","TP",0.3
"1987-10-20","TP",0.08
"1987-12-02","TP",0.14
"1988-01-05","TP",0.52
"1988-02-22","TP",0.18
"1988-03-15","TP",0.37
"1988-04-05","TP",0.18
"1988-05-10","TP",0.24
"1988-06-09","TP",0.07
"1988-07-05","TP",0.11
"1988-08-02","TP",0.07
"1988-09-29","TP",0.25
"1988-10-12","TP",0.2
"1988-11-14","TP",0.2
"1988-12-22","TP",0.14
"1989-01-17","TP",0.44
"1989-02-15","TP",0.24
"1989-03-14","TP",0.18
"1989-03-30","TP",0.09
"1989-05-19","TP",0.31
"1989-06-26","TP",0.1
"1989-07-11","TP",0.23
"1989-08-08","TP",0.19
"1989-09-11","TP",0.2
"1989-10-06","TP",0.14
"1989-12-01","TP",0.28
"1990-01-08","TP",0.27
"1990-02-20","TP",0.11
"1990-03-05","TP",0.16
"1990-04-17","TP",0.11
"1990-06-25","TP",0.11
"1990-07-17","TP",0.29
"1990-08-14","TP",0.13
"1990-09-17","TP",0.21
"1990-10-30","TP",0.14
"1990-11-13","TP",0.16
"1990-12-12","TP",0.08
"1991-01-15","TP",0.21
"1991-02-25","TP",0.26
"1991-03-12","TP",0.15
"1991-04-02","TP",0.21
"1991-05-06","TP",0.22
"1991-06-17","TP",0.13
"1991-07-23","TP",0.2
"1991-09-23","TP",0.13
"1991-11-05","TP",0.16
"1991-11-19","TP",0.15
"1991-12-10","TP",0.41
"1992-01-28","TP",0.22
"1992-02-26","TP",0.2
"1992-03-25","TP",0.28
"1992-05-14","TP",0.44
"1992-05-26","TP",0.25
"1992-06-17","TP",0.25
"1992-07-15","TP",0.24
"1992-08-18","TP",0.15
"1992-09-15","TP",0.2
"1992-10-14","TP",0.24
"1992-11-17","TP",0.18
"1992-12-15","TP",0.24
"1993-01-26","TP",0.21
"1993-03-03","TP",0.28
"1993-04-20","TP",0.07
"1993-05-24","TP",0.09
"1993-06-22","TP",0.28
"1993-07-28","TP",0.27
"1993-08-23","TP",0.11
"1993-09-20","TP",0.18
"1993-11-08","TP",0.17
"1994-01-24","TP",0.22
"1994-03-14","TP",0.19
"1994-06-28","TP",0.2
"1994-08-30","TP",0.13
"1994-10-20","TP",0.09
"1995-01-23","TP",0.28
"1995-02-21","TP",0.18
"1995-04-24","TP",0.45
"1995-06-14","TP",0.13
"1995-08-07","TP",0.16
"1995-10-12","TP",0.12
"1995-10-17","TP",0.17
"1995-12-06","TP",0.15
"1996-02-07","TP",0.42
"1996-03-27","TP",0.07
"1996-04-16","TP",0.11
"1996-05-01","TP",0.37
"1996-05-17","TP",0.22
"1996-05-31","TP",0.11
"1996-06-11","TP",0.2
"1996-06-21","TP",0.17
"1996-06-25","TP",0.095
"1996-07-23","TP",0.175
"1996-09-03","TP",0.14
"1996-09-17","TP",0.165
"1996-11-25","TP",0.2
"1997-01-15","TP",0.199
"1997-02-03","TP",0.165
"1997-02-20","TP",0.205
"1997-03-14","TP",0.105
"1997-03-26","TP",0.147
"1997-04-08","TP",0.0945
"1997-04-24","TP",0.234
"1997-05-06","TP",0.201
"1997-06-09","TP",0.245
"1997-06-19","TP",0.099
"1997-07-09","TP",0.151
"1997-08-04","TP",0.153
"1997-08-26","TP",0.13
"1997-09-23","TP",0.152
"1997-11-17","TP",0.111
"1997-12-16","TP",0.08
"1998-01-28","TP",0.172
"1998-02-27","TP",0.232
"1998-03-18","TP",0.153
"1998-03-28","TP",0.258
"1998-04-30","TP",0.141
"1998-05-13","TP",0.064
"1998-05-28","TP",0.151
"1998-06-09","TP",0.1875
"1998-06-25","TP",0.304
"1998-07-09","TP",0.163
"1998-07-30","TP",0.3465
"1998-08-19","TP",0.224
"1998-09-28","TP",0.112
"1998-11-18","TP",0.127
"1998-12-08","TP",0.086
"1999-01-12","TP",0.238
"1999-02-10","TP",0.268
"1999-03-15","TP",0.276
"1999-03-30","TP",0.1795
"1999-04-19","TP",0.171
"1999-04-28","TP",0.27
"1999-05-06","TP",0.274
"1999-05-26","TP",0.203
"1999-06-10","TP",0.3335
"1999-06-24","TP",0.338
"1999-07-21","TP",0.301
"1999-08-05","TP",0.226
"1999-09-14","TP",0.18
"1999-11-11","TP",0.155
"1999-12-01","TP",0.1335
"2000-01-27","TP",0.187
"2000-02-17","TP",0.133
"2000-03-14","TP",0.2
"2000-03-29","TP",0.232
"2000-04-12","TP",0.19
"2000-05-10","TP",0.156
"2000-05-23","TP",0.277
"2000-06-06","TP",0.204
"2000-06-23","TP",0.225
"2000-07-18","TP",0.291
"2000-08-25","TP",0.284
"2000-09-21","TP",0.185
"2000-11-28","TP",0.237
"2000-12-14","TP",0.177
"2001-01-24","TP",0.446
"2001-02-27","TP",0.43
"2001-03-14","TP",0.3285
"2001-04-02","TP",0.365
"2001-04-16","TP",0.237
"2001-04-23","TP",0.356
"2001-05-07","TP",0.258
"2001-05-21","TP",0.243
"2001-06-25","TP",0.289
"2001-07-10","TP",0.33
"2001-07-18","TP",0.215
"2001-08-27","TP",0.172
"2001-09-19","TP",0.178
"2001-10-30","TP",0.214
"2001-12-18","TP",0.283
"2002-01-22","TP",0.181
"2002-02-04","TP",0.359
"2002-02-18","TP",0.227
"2002-03-13","TP",0.17
"2002-03-25","TP",0.375
"2002-04-10","TP",0.174
"2002-04-22","TP",0.167
"2002-05-07","TP",0.288
"2002-05-28","TP",0.198
"2002-06-11","TP",0.161
"2002-08-05","TP",0.171
"2002-08-19","TP",0.186
"2002-09-09","TP",0.211
"2002-11-12","TP",0.209
"2003-01-14","TP",0.223
"2003-01-28","TP",0.1715
"2003-02-12","TP",0.199
"2003-02-24","TP",0.429
"2003-03-10","TP",0.245
"2003-03-24","TP",0.184
"2003-04-15","TP",0.236
"2003-04-29","TP",0.174
"2003-05-12","TP",0.2735
"2003-05-27","TP",0.208
"2003-06-16","TP",0.202
"2003-07-14","TP",0.169
"2003-08-12","TP",0.193
"2003-09-23","TP",0.196
"2003-10-27","TP",0.1539
"2003-12-09","TP",0.346
"2004-01-13","TP",0.21
"2004-01-29","TP",0.246
"2004-02-17","TP",0.264
"2004-03-02","TP",0.195
"2004-03-16","TP",0.385
"2004-03-30","TP",0.224
"2004-05-06","TP",0.21
"2004-05-18","TP",0.238
"2004-06-08","TP",0.394
"2004-06-22","TP",0.254
"2004-07-20","TP",0.1771
"2004-08-17","TP",0.1721
"2004-09-14","TP",0.276
"2004-10-26","TP",0.1843
"2004-11-16","TP",0.265
"2004-12-21","TP",0.223
"2005-02-02","TP",0.1588
"2005-03-22","TP",0.1735
"2005-04-13","TP",0.0593
"2005-04-27","TP",0.1928
"2005-05-10","TP",0.223
"2005-05-24","TP",0.1598
"2005-06-14","TP",0.1667
"2005-06-28","TP",0.265
"2005-07-12","TP",0.188
"2005-08-10","TP",0.1285
"2005-09-07","TP",0.206
"2005-10-11","TP",0.19
"2005-11-16","TP",0.161
"2006-01-10","TP",0.141
"2006-02-14","TP",0.24
"2006-03-15","TP",0.19
"2006-04-05","TP",0.22
"2006-04-18","TP",0.2
"2006-05-09","TP",0.195
"2006-05-31","TP",0.141
"2006-06-14","TP",0.16
"2006-06-26","TP",0.181
"2006-07-17","TP",0.172
"2006-08-21","TP",0.189
"2006-09-19","TP",0.18
"2006-10-18","TP",0.268
"2006-11-13","TP",0.271
"2007-01-23","TP",0.305
"2007-02-26","TP",0.181
"2007-03-19","TP",0.33
"2007-04-02","TP",0.343
"2007-04-16","TP",0.286
"2007-04-30","TP",0.268
"2007-05-14","TP",0.36
"2007-06-11","TP",0.282
"2007-06-27","TP",0.288
"2007-07-25","TP",0.323
"2007-08-13","TP",0.231
"2007-08-29","TP",0.219
"2007-11-07","TP",0.299
"2007-12-11","TP",0.186
"2008-02-11","TP",0.2815
"2008-03-10","TP",0.061
"2008-04-07","TP",0.188
"2008-04-21","TP",0.158
"2008-05-05","TP",0.157
"2008-05-27","TP",0.207
"2008-06-09","TP",0.218
"2008-06-23","TP",0.37
"2008-07-08","TP",0.296
"2008-08-18","TP",0.26
"2008-10-20","TP",0.1995
"2008-11-17","TP",0.2359
"2009-01-19","TP",0.234
"2009-02-03","TP",0.193
"2009-03-02","TP",0.2829
"2009-04-06","TP",0.2487
"2009-04-23","TP",0.2248
"2009-05-04","TP",0.1838
"2009-05-20","TP",0.1716
"2009-06-01","TP",0.1634
"2009-06-18","TP",0.2238
"2009-08-13","TP",0.2295
"2009-10-08","TP",0.2528
"2009-12-02","TP",0.2861
"2010-01-12","TP",0.2225
"2010-02-16","TP",0.1731
"2010-02-23","TP",0.1523
"2010-03-11","TP",0.16
"2010-03-22","TP",0.2205
"2010-04-07","TP",0.176
"2010-04-21","TP",0.1994
"2010-05-05","TP",0.2124
"2010-05-19","TP",0.2049
"2010-06-02","TP",0.1677
"2010-06-16","TP",0.218
"2010-08-11","TP",0.3433
"2010-10-27","TP",0.2085
"2010-12-08","TP",0.2419
"2011-01-10","TP",0.1918
"2011-02-09","TP",0.1629
"2011-02-22","TP",0.1503
"2011-03-08","TP",0.5415
"2011-03-21","TP",0.2527
"2011-04-06","TP",0.1474
"2011-04-20","TP",0.24285
"2011-05-09","TP",0.1504
"2011-05-16","TP",0.1575
"2011-05-23","TP",0.1508
"2011-05-30","TP",0.1391
"2011-06-06","TP",0.1455
"2011-06-13","TP",0.1826
"2011-06-20","TP",0.1798
"2011-06-27","TP",0.2531
"2011-07-11","TP",0.2685
"2011-07-25","TP",0.2606
"2011-08-22","TP",0.2741
"2011-10-24","TP",0.181
"2011-12-06","TP",0.3386
"2012-01-17","TP",0.1809
"2012-02-06","TP",0.2586
"2012-02-22","TP",0.193
"2012-03-05","TP",0.1494
"2012-03-19","TP",0.2288
"2012-04-02","TP",0.1748
"2012-04-16","TP",0.1831
"2012-04-30","TP",0.1756
"2012-05-14","TP",0.2462
"2012-06-11","TP",0.1915
"2012-06-25","TP",0.1867
"2012-08-06","TP",0.1968
"2012-10-22","TP",0.1808
"2012-12-03","TP",0.15
"2013-01-15","TP",0.322
"2013-02-05","TP",0.31
"2013-02-18","TP",0.301
"2013-03-04","TP",0.286
"2013-03-18","TP",0.172
"2013-04-08","TP",0.231
"2013-04-22","TP",0.275
"2013-05-06","TP",0.285
"2013-05-20","TP",0.164
"2013-06-03","TP",0.186
"2013-06-17","TP",0.3165
"2013-07-15","TP",0.2978
"2013-07-30","TP",0.2301
"2013-08-19","TP",0.2466
"2013-11-12","TP",0.1947
"2013-12-03","TP",0.2761
"2014-01-16","TP",0.251
"2014-02-03","TP",0.2259
"2014-02-18","TP",0.2664
"2014-03-05","TP",0.3202
"2014-03-17","TP",0.2577
"2014-04-07","TP",0.2888
"2014-04-21","TP",0.2835
"2014-05-05","TP",0.2682
"2014-05-19","TP",0.2338
"2014-06-04","TP",0.2423
"2014-06-16","TP",0.2922
"2014-07-07","TP",0.446
"2014-07-28","TP",0.3074
"2014-08-18","TP",0.1989
"2014-10-20","TP",0.3269
"2014-12-08","TP",0.1438
"2015-01-12","TP",0.1898
"2015-02-24","TP",0.1405
"2015-03-09","TP",0.2141
"2015-03-23","TP",0.272
"2015-04-06","TP",0.1437
"2015-04-20","TP",0.2662
"2015-05-07","TP",0.1526
"2015-05-18","TP",0.3221
"2015-06-01","TP",0.352
"2015-06-15","TP",0.265
"2015-06-29","TP",0.3754
"2015-07-13","TP",0.2001
"2015-08-10","TP",0.2263
"2015-10-05","TP",0.2404
"2015-12-07","TP",0.3381
"2016-01-11","TP",0.2537
"2016-02-03","TP",0.1759
"2016-02-25","TP",0.1911
"2016-03-07","TP",0.2716
"2016-03-21","TP",0.163
"2016-04-04","TP",0.2041
"2016-04-18","TP",0.2362
"2016-05-02","TP",0.2067
"2016-05-23","TP",0.2878
"2016-06-06","TP",0.2524
"2016-06-20","TP",0.2567
"2016-07-11","TP",0.1131
"2016-07-25","TP",0.2084
"2016-08-22","TP",0.2453
"2017-03-27","TP",0.0702
"2017-05-25","TP",0.15
"2017-06-08","TP",0.18
"2017-06-19","TP",0.23
"2017-07-10","TP",0.24
"2017-07-25","TP",0.2
